User ID,Anonymized User ID,Course Specific Anonymized User ID
1055648,05ad658561b8485939f5a75805da037d,43c62c81715129572a7ea8cd3eb32d2f
4297220,4e4c3c4cb2f227bbc05d98e3894c946b,2b961994088901f722ef050a4812122a
6620670,68c56ba9f0d74b3e2abe7506b334e40a,b6de7d88145d8dd0f19fe8f4074f0ab8
10442141,73854d37968a7f4dfd137414e53723c5,057ee8d305904d7d0fc7f186a12cdcfd
12146497,f2545b81debf861d96b996db4eee9dd5,c6e8e4a51370033f83223089bcea7ac7
19435975,3f923a0a7e3077ca5533b4c7a8be5510,baff9cb4b6bd95657b13aed5e3066e2b
42731342,b84c1420c67dbf01fa54c7b72752abb1,cf1d4f9c2a45931a02d04a613944de00
48369687,b14fa801c60fe81863a69e24bb0f7236,5afcd1bf5ce4518e402d691f5db6120f
57431365,8cf89c3301b29b8324341fd66146daea,d2dc99f82c6524592e164e73bb664496
64062961,ae8773a257b568fd93a64c61c75f354f,8c347c74386001d686eab2bf45306403
67485275,6cab2bddd339e534af0e3d3cd14c1dd8,d4ab1637b9782ae5fb5ca5948e7d129e
68548695,aa0b656b25cfbced850e1e71f4c33678,9e7750e4ae7f217bbed4012803ac890c
